name,label
000000016164_left.png,[28]
000000471175_left.png,[28]
000000026654_left.png,[28]
000000158497_left.png,"[60, 51, 28]"
000000390348_left.png,[28]
000000369190_left.png,[28]
000000151988_left.png,"[13, 28]"
000000307993_left.png,"[12, 28]"
000000007125_left.png,[28]
000000346965_left.png,[28]
000000392659_left.png,[28]
000000534829_left.png,[28]
000000210060_left.png,[28]
000000106166_left.png,[28]
000000276719_left.png,"[22, 28]"
000000245462_left.png,"[14, 28]"
000000532426_left.png,"[28, 18]"
000000319055_left.png,"[36, 28, 18, 71]"
000000135275_left.png,[28]
000000346560_left.png,"[47, 13, 28]"
000000007394_left.png,"[50, 8]"
000000051191_left.png,"[50, 56]"
000000087567_left.png,"[50, 12]"
000000107516_left.png,"[50, 47, 60]"
000000580027_left.png,[50]
000000353817_left.png,"[50, 76, 22]"
000000331268_left.png,"[50, 56]"
000000104326_left.png,"[50, 27, 22]"
000000413435_left.png,"[50, 26, 14, 76]"
000000364783_left.png,"[50, 22]"
000000567787_left.png,[50]
000000315740_left.png,"[50, 47, 14, 43]"
000000302038_left.png,"[50, 26, 14, 76]"
000000243600_left.png,"[50, 76]"
000000476925_left.png,"[50, 12, 23]"
000000511430_left.png,"[50, 76, 51, 74]"
000000429807_left.png,[50]
000000358103_left.png,"[50, 70, 76, 56]"
000000045099_left.png,"[50, 36, 13]"
000000461256_left.png,"[50, 14, 56]"
000000348838_left.png,"[50, 56]"
000000199575_left.png,"[50, 47]"
000000258985_left.png,[50]
000000443259_left.png,"[50, 51, 56]"
000000389624_left.png,"[50, 56, 32, 46]"
000000238355_left.png,"[50, 14]"
000000514018_left.png,[50]
000000106193_left.png,"[50, 76]"
000000275781_left.png,"[74, 26]"
000000203085_left.png,"[39, 12, 65, 74, 45, 2]"
000000225913_left.png,"[27, 77, 74, 22, 50, 26, 41, 13]"
000000106172_left.png,"[74, 39]"
000000453065_left.png,"[74, 76]"
000000106392_left.png,"[68, 74, 26, 41, 14]"
000000388534_left.png,[74]
000000554625_left.png,"[74, 39, 45]"
000000328462_left.png,"[60, 27, 52, 74, 47, 14]"
000000000939_left.png,"[74, 26]"
000000410627_left.png,"[74, 68]"
000000241350_left.png,"[39, 74, 22, 45, 42, 21]"
000000290750_left.png,"[60, 74, 47, 28, 14, 32, 56]"
000000366406_left.png,"[74, 24, 56]"
000000192403_left.png,[74]
000000015918_left.png,"[74, 69]"
000000202273_left.png,[10]
000000475407_left.png,[10]
000000265378_left.png,[10]
000000071145_left.png,[10]
000000120977_left.png,"[23, 10]"
000000290868_left.png,"[14, 26, 43, 20]"
000000040414_left.png,"[14, 27, 47, 20]"
000000574769_left.png,"[47, 51, 20]"
000000566717_left.png,[20]
000000455365_left.png,[20]
000000040842_left.png,[20]
000000254540_left.png,[20]
000000336372_left.png,[20]
000000174871_left.png,[20]
000000489687_left.png,[20]
000000129520_left.png,[37]
000000444390_left.png,"[76, 22, 37, 50, 56]"
000000097609_left.png,[37]
000000101013_left.png,[37]
000000579463_left.png,[37]
000000020779_left.png,[37]
000000541493_left.png,[13]
000000559159_left.png,[13]
000000473055_left.png,"[70, 13, 56]"
000000441473_left.png,"[70, 13, 56]"
000000092257_left.png,"[13, 56]"
000000007276_left.png,"[70, 13]"
000000107922_left.png,"[60, 43, 51, 47, 13, 14, 56]"
000000460507_left.png,[13]
000000028022_left.png,[13]
000000079465_left.png,"[47, 43, 13]"
000000327529_left.png,[13]
000000369594_left.png,"[13, 3, 46]"
000000367619_left.png,"[14, 13, 56]"
000000131804_left.png,"[61, 73, 2, 13, 36]"
000000328530_left.png,"[26, 13]"
000000415218_left.png,"[22, 27, 13, 56]"
000000373713_left.png,[13]
000000158292_left.png,[13]
000000064155_left.png,"[13, 56]"
000000083049_left.png,[13]
000000436273_left.png,"[24, 13, 26, 42]"
000000069340_left.png,"[1, 13, 3, 46]"
000000514604_left.png,[13]
000000222564_left.png,"[43, 13]"
000000525420_left.png,"[70, 13, 56]"
000000297787_left.png,"[41, 13, 54]"
000000571635_left.png,"[50, 70, 13]"
000000516805_left.png,"[14, 36, 13]"
000000504248_left.png,"[13, 56]"
000000064474_left.png,"[60, 13, 43, 56]"
000000439837_left.png,[13]
000000156320_left.png,"[60, 41, 13, 43]"
000000352093_left.png,[13]
000000464831_left.png,[13]
000000303099_left.png,[13]
000000425578_left.png,"[36, 8, 13]"
000000037367_left.png,"[13, 52]"
000000570659_left.png,"[14, 13, 56]"
000000342142_left.png,[13]
000000203661_left.png,"[12, 41, 13]"
000000519838_left.png,"[13, 18]"
000000282711_left.png,"[50, 76, 13]"
000000136720_left.png,[13]
000000581501_left.png,"[51, 77, 47, 26, 13]"
000000415841_left.png,"[60, 41, 13, 32, 56]"
000000112915_left.png,"[9, 13]"
000000027285_left.png,"[60, 68, 26, 13, 14, 32, 56]"
000000246613_left.png,"[36, 13, 56]"
000000332908_left.png,[13]
000000316008_left.png,[13]
000000385001_left.png,"[50, 70, 13]"
000000381323_left.png,[13]
000000322353_left.png,"[14, 13]"
000000195042_left.png,[13]
000000167724_left.png,[13]
000000579008_left.png,[13]
000000190734_left.png,"[13, 56]"
000000234277_left.png,"[43, 3, 47, 23, 26, 1, 13]"
000000553280_left.png,"[13, 56]"
000000079446_left.png,"[26, 13]"
000000327892_left.png,"[26, 13]"
000000207196_left.png,"[60, 51, 54, 52, 1, 41, 13, 56]"
000000484080_left.png,"[14, 41, 13]"
000000231732_left.png,[13]
000000530384_left.png,"[7, 51, 13, 56]"
